"id","학년","이수구분","학수번호_수업번호","교과목명","교강사","학점","시간","강의실","강의평","요일","시작교시","종료교시"
5419,"미정","전공선택","7459870","의학생화학입문","김용석",3,"금(09:00-10:30),금(10:30-12:00)","의대계단강의동202강의실","",,,
5420,"미정","전공선택","7459871","의학생리학입문","조항준",3,"수(10:00-12:00),수(13:00-15:00)","의대계단강의동202강의실","",,,
5421,"미정","전공선택","7459872","의과학기초실습","장미윤",1,"수(15:00-17:00)","제1의학관제1실습실","",,,
5422,"미정","전공선택","7459873","의학용어학1","황세진",2,"화(09:00-11:00)","의대계단강의동401강의실","",,,
5423,"미정","전공선택","7459874","인구집단과건강","김민주",2,"화(09:00-11:00)","의대계단강의동202강의실","",,,
5424,"미정","전공선택","7459875","인체영양학개론","김미경",2,"목(09:00-11:00)","의대계단강의동401강의실","",,,
5425,"미정","전공선택","7459876","의료데이터사이언스입문","황우창",2,"수(11:00-13:00)","의대계단강의동401강의실","",,,
5426,"미정","전공선택","7459877","사람.의료.사회2-2","신영전",2,"목(10:00-12:00)","의대계단강의동202강의실","",,,
5427,"미정","전공선택","7459878","기초신경과학","황세진",2,"월(15:00-17:00)","의대계단강의동202강의실","",,,
5428,"미정","전공선택","7459879","의료기기의이해","이제연",2,"금(09:00-11:00)","의대계단강의동401강의실","",,,
5429,"미정","전공선택","7459880","유기화학","이경림",2,"월(11:00-13:00)","의대계단강의동401강의실","",,,
5430,"미정","전공선택","7459881","의과학기초실습","장미윤",1,"수(13:00-15:00)","제1의학관제1실습실","",,,
5431,"미정","전공선택","7459882","세포생물학","김용석",3,"월(14:00-15:30),월(15:30-17:00)","의대계단강의동401강의실","",,,
5432,"미정","전공선택","7459883","유전학","허준호",3,"화(13:00-14:30),목(13:00-14:30)","의대계단강의동202강의실","",,,
5433,"미정","전공선택","7459885","교육철학및교육사","윤지혜",2,"금(13:00-15:00)","사범대학본관대강의실6(308)","",,,
5434,"미정","전공선택","7459886","교육과정론","김혜실",2,"수(15:00-17:00)","사범대학본관대강의실1(203)","",,,
5435,"미정","전공선택","7459887","신경과학과교육","임수현",3,"수(15:00-16:30),수(16:30-18:00)","사범대학본관대강의실6(308)","",,,
5436,"미정","전공선택","7459888","학습과학","신서경",3,"금(13:00-14:30),금(14:30-16:00)","사범대학본관IC-PBL강의실(406)","",,,
5437,"미정","전공선택","7459889","현대소설교육론","김수지",3,"화(13:00-14:30),화(14:30-16:00)","사범대학본관강의실(212)","",,,
5438,"미정","전공선택","7459891","HRD와조직변화","김희배",3,"수(13:00-14:00),수(14:00-16:00)","사범대학본관대강의실7(309)","",,,
5439,"미정","전공선택","7459893","현대대수2","신동의",3,"화(10:30-12:00),목(10:30-12:00)","사범대학별관IC-PBL강의실(506-304)","",,,
5440,"미정","전공선택","7459894","교직실무","배성철",2,"월(11:00-13:00)","사범대학본관대강의실7(309)","",,,
5441,"미정","전공선택","7459895","상담이론","조한익",3,"화(13:00-14:30),화(14:30-16:00)","사범대학본관대강의실8(404)","",,,
5442,"미정","전공선택","7459896","통합사고와읽기의기술","박다솜",2,"월(13:00-15:00)","사범대학본관대강의실1(203)","",,,
5443,"미정","전공선택","7459897","2D컴퓨터그래픽","표재연",2,"목(15:00-16:00),목(16:00-18:00)","사범대학본관시각멀티미디어디자인1(103)","",,,
5444,"미정","전공선택","7459898","수학사와수학교육사","송륜진",3,"화(13:00-14:30),목(13:00-14:30)","사범대학별관IC-PBL강의실(506-304)","",,,
5445,"미정","전공선택","7459899","전문학술영어","Mark A. Rublik",3,"월(13:00-14:30),목(16:00-17:30)","사범대학본관대강의실5(307)","",,,
5446,"미정","전공선택","7459901","서양미술사2","권영진",3,"화(13:00-14:30),화(14:30-16:00)","사범대학별관강의실(506-305)","",,,
5447,"미정","전공선택","7459902","커리어개발Ⅱ:취.창업진로포트폴리오","정수정",1,"수(17:00-18:00)","사범대학본관중강의실(411)","",,,
5448,"미정","전공선택","7459903","미분기하학2","조상범",3,"월(16:00-17:30),수(16:00-17:30)","사범대학별관IC-PBL강의실(506-304)","",,,
5449,"미정","전공선택","7459904","영어의사소통의기초","Joshua Huewe",3,"화(13:00-14:30),금(13:00-14:30)","사범대학본관IC-PBL강의실(313)","",,,
5450,"미정","전공선택","7459905","시각디자인2","오형균",3,"수(09:00-11:00),수(11:00-13:00)","사범대학본관시각멀티미디어디자인1(103)","",,,
5451,"미정","전공선택","7459906","확률과통계","유다혜",3,"수(15:00-16:30),수(16:30-18:00)","사범대학본관대강의실4(302)","",,,
5452,"미정","전공선택","7459907","미분적분학2","김기택",3,"화(10:30-12:00),목(10:30-12:00)","사범대학본관대강의실4(302)","",,,
5453,"미정","전공선택","7459908","커리어개발Ⅱ:취.창업진로포트폴리오","함승환",1,"금(11:00-12:00)","사범대학본관대강의실2(202)","",,,
5454,"미정","전공선택","7459909","사회언어학과영어교육","이지훈",3,"화(13:00-14:30),화(14:30-16:00)","사범대학본관계단강의실(312)","",,,
5455,"미정","전공선택","7459910","영어학특강","서영미",3,"월(10:30-12:00),수(10:30-12:00)","사범대학본관강의실(212)","",,,
5456,"미정","전공선택","7459911","커리어개발Ⅱ:취.창업진로포트폴리오","전유아",1,"수(16:00-17:00)","사범대학본관강의실(212)","",,,
5457,"미정","전공선택","7459912","문화기술인간","천미림",2,"화(13:00-15:00)","사범대학본관대강의실7(309)","",,,
5458,"미정","전공선택","7459913","소셜디자인","황의진",2,"월(13:00-14:00),월(14:00-16:00)","사범대학본관IC-PBL강의실(313)","",,,
5459,"미정","전공선택","7459915","미술과교재연구","김미남",3,"월(16:00-17:30),월(17:30-19:00)","사범대학본관IC-PBL강의실(313)","",,,
5460,"미정","전공선택","7459916","산업교육프로그램개발","설동준",3,"화(13:00-14:00),화(14:00-16:00)","사범대학본관대강의실5(307)","",,,
5461,"미정","전공선택","7459917","학습동기와게임","배윤희",3,"화(09:00-10:00),화(10:00-12:00)","사범대학본관대강의실9(407)","",,,
5462,"미정","전공선택","7459918","복소함수론1","오병근",3,"월(14:30-16:00),수(14:30-16:00)","사범대학별관IC-PBL강의실(506-304)","",,,
